LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
BEL,RESEARCHER,TOT,1000EMPLOYED,A,2019,12.3858318,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,2020,13.08998584,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,1981,3.518680695,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,1982,3.97892323,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,1983,4.079357567,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,1984,4.251745114,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,1985,4.419511994,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,1986,4.688147411,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,1987,4.711408937,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,1988,4.789714557,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,1989,4.789973609,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,1990,4.902211947,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,1991,5.13985755,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,1992,5.523287204,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,1993,5.738703576,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,1994,6.405142964,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,1995,6.413784837,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,1996,6.574227416,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,1997,6.638135082,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,1998,6.63376515,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,1999,6.697389968,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,2000,7.161759523,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,2001,7.530815279,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,2002,7.442973415,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,2003,7.741455611,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,2004,8.058350418,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,2005,8.322080971,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,2006,8.438246505,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,2007,8.905659622,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,2008,9.118300377,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,2009,8.861488656,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,2010,9.197955765,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,2011,9.417600417,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,2012,9.131744056,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,2013,9.112551006,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,2014,9.003251535,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,2015,8.990799823,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,2016,8.688412108,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,2017,8.683195793,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,2018,9.218177222,
CAN,RESEARCHER,TOT,1000EMPLOYED,A,2019,9.428146494,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,1995,2.337851233,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,1996,2.525920252,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,1997,2.468610092,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,1998,2.509392749,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,1999,2.762412898,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,2000,2.850592292,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,2001,3.092404862,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,2002,3.070472407,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,2003,3.267633418,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,2004,3.375450829,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,2005,4.909777984,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,2006,5.26506861,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,2007,5.473599485,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,2008,5.72343675,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,2009,5.627934757,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,2010,5.779411865,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,2011,6.083467143,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,2012,6.558665385,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,2013,6.745045387,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,2014,7.05421265,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,2015,7.348830195,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,2016,7.092627237,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,2017,7.329219429,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,2018,7.605186675,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,2019,7.826454457,
CZE,RESEARCHER,TOT,1000EMPLOYED,A,2020,8.282607892,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,1981,2.740578127,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,1982,2.917259602,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,1983,3.084341222,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,1984,3.217436183,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,1985,3.316154515,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,1986,3.464881705,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,1987,3.665808749,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,1988,3.907376081,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,1989,4.144081887,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,1990,4.367740601,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,1991,4.619067791,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,1992,4.970486649,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,1993,5.371519631,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,1995,6.107921155,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,1996,6.330248763,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,1997,6.547600129,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,1999,6.927458955,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,2001,6.991262808,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,2002,9.175669851,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,2003,9.01961549,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,2004,9.535526552,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,2005,10.12481516,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,2006,10.13595104,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,2007,10.36050213,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,2008,12.11512168,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,2009,12.8887623,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,2010,13.42791737,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,2011,14.06036256,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,2012,14.48608923,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,2013,14.41153006,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,2014,14.8392123,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,2015,15.13822208,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,2016,15.57995753,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,2017,15.04707387,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,2018,14.82250886,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,2019,14.86389694,
DNK,RESEARCHER,TOT,1000EMPLOYED,A,2020,14.98419895,
FIN,RESEARCHER,TOT,1000EMPLOYED,A,1983,3.915139426,
FIN,RESEARCHER,TOT,1000EMPLOYED,A,2004,17.21029479,
FIN,RESEARCHER,TOT,1000EMPLOYED,A,2005,16.36363636,
FIN,RESEARCHER,TOT,1000EMPLOYED,A,2006,16.39787129,
FIN,RESEARCHER,TOT,1000EMPLOYED,A,2007,15.48275831,
FIN,RESEARCHER,TOT,1000EMPLOYED,A,2008,15.87470242,
FIN,RESEARCHER,TOT,1000EMPLOYED,A,2009,16.27569376,
FIN,RESEARCHER,TOT,1000EMPLOYED,A,2010,16.6052173,
FIN,RESEARCHER,TOT,1000EMPLOYED,A,2011,15.78323496,
FIN,RESEARCHER,TOT,1000EMPLOYED,A,2012,15.83208795,
FIN,RESEARCHER,TOT,1000EMPLOYED,A,2013,15.45164978,
FIN,RESEARCHER,TOT,1000EMPLOYED,A,2014,15.15643188,
FIN,RESEARCHER,TOT,1000EMPLOYED,A,2015,14.86480704,
FIN,RESEARCHER,TOT,1000EMPLOYED,A,2016,14.16385295,
FIN,RESEARCHER,TOT,1000EMPLOYED,A,2017,14.46112109,
FIN,RESEARCHER,TOT,1000EMPLOYED,A,2018,14.42869655,
FIN,RESEARCHER,TOT,1000EMPLOYED,A,2019,14.95116479,
FIN,RESEARCHER,TOT,1000EMPLOYED,A,2020,15.8962915,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,1981,3.780175082,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,1982,3.972130352,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,1983,4.091559244,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,1984,4.357916223,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,1985,4.547205052,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,1986,4.644554587,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,1987,4.797078563,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,1988,5.002736751,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,1989,5.142186166,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,1990,5.244498984,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,1991,5.479186017,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,1992,6.020733314,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,1993,6.263329613,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,1994,6.372773483,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,1995,6.396652569,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,1996,6.511081206,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,1997,6.457555398,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,1998,6.386967435,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,1999,6.425184236,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,2000,6.7209593,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,2001,6.829880631,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,2002,7.14334981,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,2003,7.385171875,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,2004,7.741754332,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,2005,7.693734661,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,2006,7.914875405,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,2007,8.21914059,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,2008,8.392440927,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,2009,8.738806335,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,2010,9.071490263,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,2011,9.214973381,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,2012,9.5399042,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,2013,9.763361942,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,2014,9.942645489,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,2015,10.20298638,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,2016,10.35614919,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,2017,10.62817966,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,2018,10.8473122,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,2019,10.99749793,
FRA,RESEARCHER,TOT,1000EMPLOYED,A,2020,11.362981,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,1981,4.650697699,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,1983,4.963313889,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,1985,5.317878495,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,1987,5.7810296,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,1989,5.959309223,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,1991,6.222350853,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,1993,6.077357843,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,1995,6.075600652,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,1996,6.048532464,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,1997,6.198554154,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,1998,6.175139629,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,1999,6.510506135,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,2000,6.451527357,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,2001,6.633006347,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,2002,6.701255483,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,2003,6.85429569,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,2004,6.864869671,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,2005,6.922947775,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,2006,7.067104432,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,2007,7.222213945,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,2008,7.410769381,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,2009,7.757548346,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,2010,7.990547652,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,2011,8.152537069,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,2012,8.387134392,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,2013,8.369846517,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,2014,8.23770511,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,2015,8.997309958,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,2016,9.152447264,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,2017,9.480299128,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,2018,9.665798253,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,2019,9.955980251,
DEU,RESEARCHER,TOT,1000EMPLOYED,A,2020,10.04023533,
GRC,RESEARCHER,TOT,1000EMPLOYED,A,1989,1.394486487,
GRC,RESEARCHER,TOT,1000EMPLOYED,A,1991,1.602987672,
GRC,RESEARCHER,TOT,1000EMPLOYED,A,1993,1.986910291,
GRC,RESEARCHER,TOT,1000EMPLOYED,A,1995,2.33504734,
GRC,RESEARCHER,TOT,1000EMPLOYED,A,1997,2.663574662,
GRC,RESEARCHER,TOT,1000EMPLOYED,A,1999,3.430723378,
GRC,RESEARCHER,TOT,1000EMPLOYED,A,2001,3.320248388,
GRC,RESEARCHER,TOT,1000EMPLOYED,A,2003,3.476948113,
GRC,RESEARCHER,TOT,1000EMPLOYED,A,2005,4.216336425,
GRC,RESEARCHER,TOT,1000EMPLOYED,A,2006,4.207451413,
GRC,RESEARCHER,TOT,1000EMPLOYED,A,2007,4.382414119,
GRC,RESEARCHER,TOT,1000EMPLOYED,A,2011,5.476913249,
GRC,RESEARCHER,TOT,1000EMPLOYED,A,2012,5.732994712,
GRC,RESEARCHER,TOT,1000EMPLOYED,A,2013,6.796212494,
GRC,RESEARCHER,TOT,1000EMPLOYED,A,2014,6.708328366,
GRC,RESEARCHER,TOT,1000EMPLOYED,A,2015,8.029476888,
GRC,RESEARCHER,TOT,1000EMPLOYED,A,2016,6.578567603,
GRC,RESEARCHER,TOT,1000EMPLOYED,A,2017,7.871177412,
GRC,RESEARCHER,TOT,1000EMPLOYED,A,2018,8.136442124,
GRC,RESEARCHER,TOT,1000EMPLOYED,A,2019,8.559426412,
GRC,RESEARCHER,TOT,1000EMPLOYED,A,2020,9.525040555,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,1992,2.770690323,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,1993,2.837668914,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,1994,2.878385753,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,1995,2.662770367,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,1996,2.644802828,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,1997,2.80593044,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,1998,2.924624662,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,1999,3.075184709,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,2000,3.50015732,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,2001,3.556367306,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,2002,3.634430455,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,2003,3.616922623,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,2004,3.589481259,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,2005,3.851859399,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,2006,4.222664642,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,2007,4.215942765,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,2008,4.565427055,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,2009,5.04707357,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,2010,5.404645686,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,2011,5.829633095,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,2012,5.981822407,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,2013,6.205370553,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,2014,6.213043908,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,2015,5.869980716,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,2016,5.768916486,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,2017,6.235102358,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,2018,8.058536786,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,2019,8.327815181,
HUN,RESEARCHER,TOT,1000EMPLOYED,A,2020,9.019557947,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,1981,2.853155124,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,1983,3.306614257,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,1985,3.556704392,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,1987,3.426326991,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,1989,5.003241432,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,1990,4.930707513,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,1991,5.013129103,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,1992,5.165572575,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,1993,5.958333333,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,1994,6.127751994,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,1995,7.579577465,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,1997,9.429676512,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,1998,9.549581364,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,1999,10.27687296,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,2001,11.67964824,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,2003,12.17916137,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,2005,13.31829419,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,2006,14.11623529,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,2007,12.42712437,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,2008,12.87046012,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,2009,15.21931956,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,2011,13.7449787,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,2013,10.78849971,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,2015,10.77252078,
ISL,RESEARCHER,TOT,1000EMPLOYED,A,2017,10.42196238,
IRL,RESEARCHER,TOT,1000EMPLOYED,A,1981,1.79122638,
IRL,RESEARCHER,TOT,1000EMPLOYED,A,1982,1.93777468,
IRL,RESEARCHER,TOT,1000EMPLOYED,A,1983,2.124694807,
IRL,RESEARCHER,TOT,1000EMPLOYED,A,1984,2.341275912,
IRL,RESEARCHER,TOT,1000EMPLOYED,A,1985,2.497405103,
IRL,RESEARCHER,TOT,1000EMPLOYED,A,1986,2.627570045,
IRL,RESEARCHER,TOT,1000EMPLOYED,A,1987,2.915218835,
IRL,RESEARCHER,TOT,1000EMPLOYED,A,1988,3.125506751,
IRL,RESEARCHER,TOT,1000EMPLOYED,A,1989,3.574943033,
IRL,RESEARCHER,TOT,1000EMPLOYED,A,1990,3.847419516,
IRL,RESEARCHER,TOT,1000EMPLOYED,A,1991,4.313081554,
IRL,RESEARCHER,TOT,1000EMPLOYED,A,1992,4.602377487,
IRL,RESEARCHER,TOT,1000EMPLOYED,A,1993,3.962622298,
IRL,RESEARCHER,TOT,1000EMPLOYED,A,1994,4.163252262,
IRL,RESEARCHER,TOT,1000EMPLOYED,A,1995,4.342312729,
IRL,RESEARCHER,TOT,1000EMPLOYED,A,1996,4.664524169,
IRL,RESEARCHER,TOT,1000EMPLOYED,A,1997,4.927577206,
IRL,RESEARCHER,TOT,1000EMPLOYED,A,1998,5.063990265,
IRL,RESEARCHER,TOT,1000EMPLOYED,A,1999,4.853208466,
