DEMO_IND,Indicator,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags
NY_GDP_MKTP_CD,GDP (current US$),CZE,Czechia,2019,2019,2.52498E+11,,
NY_GDP_MKTP_CD,GDP (current US$),CZE,Czechia,2020,2020,2.45339E+11,,
NY_GDP_MKTP_CD,GDP (current US$),CZE,Czechia,2021,2021,2.82341E+11,,
NY_GDP_MKTP_CD,GDP (current US$),DNK,Denmark,2016,2016,3.13116E+11,,
NY_GDP_MKTP_CD,GDP (current US$),DNK,Denmark,2017,2017,3.32121E+11,,
NY_GDP_MKTP_CD,GDP (current US$),DNK,Denmark,2018,2018,3.56841E+11,,
NY_GDP_MKTP_CD,GDP (current US$),DNK,Denmark,2019,2019,3.47561E+11,,
NY_GDP_MKTP_CD,GDP (current US$),DNK,Denmark,2020,2020,3.56085E+11,,
NY_GDP_MKTP_CD,GDP (current US$),DNK,Denmark,2021,2021,3.97104E+11,,
NY_GDP_MKTP_CD,GDP (current US$),FIN,Finland,2016,2016,2.40771E+11,,
NY_GDP_MKTP_CD,GDP (current US$),FIN,Finland,2017,2017,2.55648E+11,,
NY_GDP_MKTP_CD,GDP (current US$),FIN,Finland,2018,2018,2.75715E+11,,
NY_GDP_MKTP_CD,GDP (current US$),FIN,Finland,2019,2019,2.68508E+11,,
NY_GDP_MKTP_CD,GDP (current US$),FIN,Finland,2020,2020,2.71837E+11,,
NY_GDP_MKTP_CD,GDP (current US$),FIN,Finland,2021,2021,2.99155E+11,,
NY_GDP_MKTP_CD,GDP (current US$),FRA,France,2016,2016,2.47296E+12,,
NY_GDP_MKTP_CD,GDP (current US$),FRA,France,2017,2017,2.59515E+12,,
NY_GDP_MKTP_CD,GDP (current US$),FRA,France,2018,2018,2.79096E+12,,
NY_GDP_MKTP_CD,GDP (current US$),FRA,France,2019,2019,2.72887E+12,,
NY_GDP_MKTP_CD,GDP (current US$),FRA,France,2020,2020,2.63032E+12,,
NY_GDP_MKTP_CD,GDP (current US$),FRA,France,2021,2021,2.93747E+12,,
NY_GDP_MKTP_CD,GDP (current US$),DEU,Germany,2016,2016,3.46985E+12,,
NY_GDP_MKTP_CD,GDP (current US$),DEU,Germany,2017,2017,3.69085E+12,,
NY_GDP_MKTP_CD,GDP (current US$),DEU,Germany,2018,2018,3.97729E+12,,
NY_GDP_MKTP_CD,GDP (current US$),DEU,Germany,2019,2019,3.88833E+12,,
NY_GDP_MKTP_CD,GDP (current US$),DEU,Germany,2020,2020,3.84641E+12,,
NY_GDP_MKTP_CD,GDP (current US$),DEU,Germany,2021,2021,4.22312E+12,,
NY_GDP_MKTP_CD,GDP (current US$),GRC,Greece,2016,2016,1.93148E+11,,
NY_GDP_MKTP_CD,GDP (current US$),GRC,Greece,2017,2017,1.99844E+11,,
NY_GDP_MKTP_CD,GDP (current US$),GRC,Greece,2018,2018,2.12049E+11,,
NY_GDP_MKTP_CD,GDP (current US$),GRC,Greece,2019,2019,2.05144E+11,,
NY_GDP_MKTP_CD,GDP (current US$),GRC,Greece,2020,2020,1.88835E+11,,
NY_GDP_MKTP_CD,GDP (current US$),GRC,Greece,2021,2021,2.16241E+11,,
NY_GDP_MKTP_CD,GDP (current US$),HUN,Hungary,2016,2016,1.28636E+11,,
NY_GDP_MKTP_CD,GDP (current US$),HUN,Hungary,2017,2017,1.43136E+11,,
NY_GDP_MKTP_CD,GDP (current US$),HUN,Hungary,2018,2018,1.60587E+11,,
NY_GDP_MKTP_CD,GDP (current US$),HUN,Hungary,2019,2019,1.63526E+11,,
NY_GDP_MKTP_CD,GDP (current US$),HUN,Hungary,2020,2020,1.56743E+11,,
NY_GDP_MKTP_CD,GDP (current US$),HUN,Hungary,2021,2021,1.82281E+11,,
NY_GDP_MKTP_CD,GDP (current US$),ISL,Iceland,2016,2016,20793168031,,
NY_GDP_MKTP_CD,GDP (current US$),ISL,Iceland,2017,2017,24728285177,,
NY_GDP_MKTP_CD,GDP (current US$),ISL,Iceland,2018,2018,26267063758,,
NY_GDP_MKTP_CD,GDP (current US$),ISL,Iceland,2019,2019,24857740445,,
NY_GDP_MKTP_CD,GDP (current US$),ISL,Iceland,2020,2020,21718075725,,
NY_GDP_MKTP_CD,GDP (current US$),ISL,Iceland,2021,2021,25458933916,,
NY_GDP_MKTP_CD,GDP (current US$),IRL,Ireland,2016,2016,2.98928E+11,,
NY_GDP_MKTP_CD,GDP (current US$),IRL,Ireland,2017,2017,3.35431E+11,,
NY_GDP_MKTP_CD,GDP (current US$),IRL,Ireland,2018,2018,3.85042E+11,,
NY_GDP_MKTP_CD,GDP (current US$),IRL,Ireland,2019,2019,3.99122E+11,,
NY_GDP_MKTP_CD,GDP (current US$),IRL,Ireland,2020,2020,4.25889E+11,,
NY_GDP_MKTP_CD,GDP (current US$),IRL,Ireland,2021,2021,4.9856E+11,,
NY_GDP_MKTP_CD,GDP (current US$),ITA,Italy,2016,2016,1.87707E+12,,
NY_GDP_MKTP_CD,GDP (current US$),ITA,Italy,2017,2017,1.9618E+12,,
NY_GDP_MKTP_CD,GDP (current US$),ITA,Italy,2018,2018,2.09193E+12,,
NY_GDP_MKTP_CD,GDP (current US$),ITA,Italy,2019,2019,2.01129E+12,,
NY_GDP_MKTP_CD,GDP (current US$),ITA,Italy,2020,2020,1.89257E+12,,
NY_GDP_MKTP_CD,GDP (current US$),ITA,Italy,2021,2021,2.09988E+12,,
NY_GDP_MKTP_CD,GDP (current US$),JPN,Japan,2016,2016,5.00368E+12,,
NY_GDP_MKTP_CD,GDP (current US$),JPN,Japan,2017,2017,4.93084E+12,,
NY_GDP_MKTP_CD,GDP (current US$),JPN,Japan,2018,2018,5.03784E+12,,
NY_GDP_MKTP_CD,GDP (current US$),JPN,Japan,2019,2019,5.12332E+12,,
NY_GDP_MKTP_CD,GDP (current US$),JPN,Japan,2020,2020,5.04011E+12,,
NY_GDP_MKTP_CD,GDP (current US$),JPN,Japan,2021,2021,4.93742E+12,,
NY_GDP_MKTP_CD,GDP (current US$),KOR,Republic of Korea,2016,2016,1.50011E+12,,
NY_GDP_MKTP_CD,GDP (current US$),KOR,Republic of Korea,2017,2017,1.6239E+12,,
NY_GDP_MKTP_CD,GDP (current US$),KOR,Republic of Korea,2018,2018,1.72485E+12,,
NY_GDP_MKTP_CD,GDP (current US$),KOR,Republic of Korea,2019,2019,1.65142E+12,,
NY_GDP_MKTP_CD,GDP (current US$),KOR,Republic of Korea,2020,2020,1.6379E+12,,
NY_GDP_MKTP_CD,GDP (current US$),KOR,Republic of Korea,2021,2021,1.79853E+12,,
NY_GDP_MKTP_CD,GDP (current US$),LUX,Luxembourg,2016,2016,62216885436,,
NY_GDP_MKTP_CD,GDP (current US$),LUX,Luxembourg,2017,2017,65712180343,,
NY_GDP_MKTP_CD,GDP (current US$),LUX,Luxembourg,2018,2018,71285019397,,
NY_GDP_MKTP_CD,GDP (current US$),LUX,Luxembourg,2019,2019,70195715496,,
NY_GDP_MKTP_CD,GDP (current US$),LUX,Luxembourg,2020,2020,73353132794,,
NY_GDP_MKTP_CD,GDP (current US$),LUX,Luxembourg,2021,2021,86710803337,,
NY_GDP_MKTP_CD,GDP (current US$),MEX,Mexico,2016,2016,1.07849E+12,,
NY_GDP_MKTP_CD,GDP (current US$),MEX,Mexico,2017,2017,1.15891E+12,,
NY_GDP_MKTP_CD,GDP (current US$),MEX,Mexico,2018,2018,1.22241E+12,,
NY_GDP_MKTP_CD,GDP (current US$),MEX,Mexico,2019,2019,1.2694E+12,,
NY_GDP_MKTP_CD,GDP (current US$),MEX,Mexico,2020,2020,1.08712E+12,,
NY_GDP_MKTP_CD,GDP (current US$),MEX,Mexico,2021,2021,1.29304E+12,,
NY_GDP_MKTP_CD,GDP (current US$),NLD,Netherlands,2016,2016,7.8406E+11,,
NY_GDP_MKTP_CD,GDP (current US$),NLD,Netherlands,2017,2017,8.3387E+11,,
NY_GDP_MKTP_CD,GDP (current US$),NLD,Netherlands,2018,2018,9.14043E+11,,
NY_GDP_MKTP_CD,GDP (current US$),NLD,Netherlands,2019,2019,9.10194E+11,,
NY_GDP_MKTP_CD,GDP (current US$),NLD,Netherlands,2020,2020,9.13865E+11,,
NY_GDP_MKTP_CD,GDP (current US$),NLD,Netherlands,2021,2021,1.01801E+12,,
NY_GDP_MKTP_CD,GDP (current US$),NZL,New Zealand,2016,2016,1.88838E+11,,
NY_GDP_MKTP_CD,GDP (current US$),NZL,New Zealand,2017,2017,2.06624E+11,,
NY_GDP_MKTP_CD,GDP (current US$),NZL,New Zealand,2018,2018,2.11953E+11,,
NY_GDP_MKTP_CD,GDP (current US$),NZL,New Zealand,2019,2019,2.13435E+11,,
NY_GDP_MKTP_CD,GDP (current US$),NZL,New Zealand,2020,2020,2.11735E+11,,
NY_GDP_MKTP_CD,GDP (current US$),NZL,New Zealand,2021,2021,2.49992E+11,,
NY_GDP_MKTP_CD,GDP (current US$),NOR,Norway,2016,2016,3.68827E+11,,
NY_GDP_MKTP_CD,GDP (current US$),NOR,Norway,2017,2017,3.98394E+11,,
NY_GDP_MKTP_CD,GDP (current US$),NOR,Norway,2018,2018,4.37E+11,,
NY_GDP_MKTP_CD,GDP (current US$),NOR,Norway,2019,2019,4.04941E+11,,
NY_GDP_MKTP_CD,GDP (current US$),NOR,Norway,2020,2020,3.62198E+11,,
NY_GDP_MKTP_CD,GDP (current US$),NOR,Norway,2021,2021,4.82437E+11,,
NY_GDP_MKTP_CD,GDP (current US$),POL,Poland,2016,2016,4.7263E+11,,
NY_GDP_MKTP_CD,GDP (current US$),POL,Poland,2017,2017,5.26509E+11,,
NY_GDP_MKTP_CD,GDP (current US$),POL,Poland,2018,2018,5.87412E+11,,
NY_GDP_MKTP_CD,GDP (current US$),POL,Poland,2019,2019,5.97281E+11,,
NY_GDP_MKTP_CD,GDP (current US$),POL,Poland,2020,2020,5.96624E+11,,
NY_GDP_MKTP_CD,GDP (current US$),POL,Poland,2021,2021,6.74048E+11,,
NY_GDP_MKTP_CD,GDP (current US$),PRT,Portugal,2016,2016,2.06426E+11,,
NY_GDP_MKTP_CD,GDP (current US$),PRT,Portugal,2017,2017,2.21358E+11,,
NY_GDP_MKTP_CD,GDP (current US$),PRT,Portugal,2018,2018,2.42313E+11,,
NY_GDP_MKTP_CD,GDP (current US$),PRT,Portugal,2019,2019,2.39987E+11,,
NY_GDP_MKTP_CD,GDP (current US$),PRT,Portugal,2020,2020,2.28539E+11,,
NY_GDP_MKTP_CD,GDP (current US$),PRT,Portugal,2021,2021,2.49886E+11,,
NY_GDP_MKTP_CD,GDP (current US$),SVK,Slovakia,2016,2016,89674927723,,
NY_GDP_MKTP_CD,GDP (current US$),SVK,Slovakia,2017,2017,95393515078,,
NY_GDP_MKTP_CD,GDP (current US$),SVK,Slovakia,2018,2018,1.05613E+11,,
NY_GDP_MKTP_CD,GDP (current US$),SVK,Slovakia,2019,2019,1.05284E+11,,
NY_GDP_MKTP_CD,GDP (current US$),SVK,Slovakia,2020,2020,1.05173E+11,,
NY_GDP_MKTP_CD,GDP (current US$),SVK,Slovakia,2021,2021,1.14871E+11,,
NY_GDP_MKTP_CD,GDP (current US$),AFG,Afghanistan,2016,2016,18116562465,,
NY_GDP_MKTP_CD,GDP (current US$),AFG,Afghanistan,2017,2017,18753469630,,
NY_GDP_MKTP_CD,GDP (current US$),AFG,Afghanistan,2018,2018,18053228579,,
NY_GDP_MKTP_CD,GDP (current US$),AFG,Afghanistan,2019,2019,18799450743,,
NY_GDP_MKTP_CD,GDP (current US$),AFG,Afghanistan,2020,2020,20116137326,,
NY_GDP_MKTP_CD,GDP (current US$),ALB,Albania,2016,2016,11861199831,,
NY_GDP_MKTP_CD,GDP (current US$),ALB,Albania,2017,2017,13019689337,,
NY_GDP_MKTP_CD,GDP (current US$),ALB,Albania,2018,2018,15156432310,,
NY_GDP_MKTP_CD,GDP (current US$),ALB,Albania,2019,2019,15401830754,,
NY_GDP_MKTP_CD,GDP (current US$),ALB,Albania,2020,2020,15131866271,,
NY_GDP_MKTP_CD,GDP (current US$),ALB,Albania,2021,2021,18260043500,,
NY_GDP_MKTP_CD,GDP (current US$),DZA,Algeria,2016,2016,1.60034E+11,,
NY_GDP_MKTP_CD,GDP (current US$),DZA,Algeria,2017,2017,1.70097E+11,,
NY_GDP_MKTP_CD,GDP (current US$),DZA,Algeria,2018,2018,1.74911E+11,,
NY_GDP_MKTP_CD,GDP (current US$),DZA,Algeria,2019,2019,1.71767E+11,,
NY_GDP_MKTP_CD,GDP (current US$),DZA,Algeria,2020,2020,1.45009E+11,,
NY_GDP_MKTP_CD,GDP (current US$),DZA,Algeria,2021,2021,1.67983E+11,,
NY_GDP_MKTP_CD,GDP (current US$),AND,Andorra,2016,2016,2896610480,,
NY_GDP_MKTP_CD,GDP (current US$),AND,Andorra,2017,2017,3000162081,,
NY_GDP_MKTP_CD,GDP (current US$),AND,Andorra,2018,2018,3218419897,,
NY_GDP_MKTP_CD,GDP (current US$),AND,Andorra,2019,2019,3155149348,,
NY_GDP_MKTP_CD,GDP (current US$),AND,Andorra,2020,2020,2891001149,,
NY_GDP_MKTP_CD,GDP (current US$),AND,Andorra,2021,2021,3329910724,,
NY_GDP_MKTP_CD,GDP (current US$),AGO,Angola,2016,2016,49840494026,,
NY_GDP_MKTP_CD,GDP (current US$),AGO,Angola,2017,2017,68972763787,,
NY_GDP_MKTP_CD,GDP (current US$),AGO,Angola,2018,2018,77792940077,,
NY_GDP_MKTP_CD,GDP (current US$),AGO,Angola,2019,2019,69309104807,,
NY_GDP_MKTP_CD,GDP (current US$),AGO,Angola,2020,2020,53619071176,,
NY_GDP_MKTP_CD,GDP (current US$),AGO,Angola,2021,2021,72546985709,,
NY_GDP_MKTP_CD,GDP (current US$),ATG,Antigua and Barbuda,2016,2016,1436585185,,
NY_GDP_MKTP_CD,GDP (current US$),ATG,Antigua and Barbuda,2017,2017,1467977778,,
NY_GDP_MKTP_CD,GDP (current US$),ATG,Antigua and Barbuda,2018,2018,1605944444,,
NY_GDP_MKTP_CD,GDP (current US$),ATG,Antigua and Barbuda,2019,2019,1687533333,,
NY_GDP_MKTP_CD,GDP (current US$),ATG,Antigua and Barbuda,2020,2020,1370281481,,
NY_GDP_MKTP_CD,GDP (current US$),ATG,Antigua and Barbuda,2021,2021,1471125926,,
NY_GDP_MKTP_CD,GDP (current US$),ARG,Argentina,2016,2016,5.57531E+11,,
NY_GDP_MKTP_CD,GDP (current US$),ARG,Argentina,2017,2017,6.43629E+11,,
NY_GDP_MKTP_CD,GDP (current US$),ARG,Argentina,2018,2018,5.2482E+11,,
NY_GDP_MKTP_CD,GDP (current US$),ARG,Argentina,2019,2019,4.52818E+11,,
NY_GDP_MKTP_CD,GDP (current US$),ARG,Argentina,2020,2020,3.89591E+11,,
NY_GDP_MKTP_CD,GDP (current US$),ARG,Argentina,2021,2021,4.91493E+11,,
NY_GDP_MKTP_CD,GDP (current US$),ARM,Armenia,2016,2016,10546135160,,
NY_GDP_MKTP_CD,GDP (current US$),ARM,Armenia,2017,2017,11527458566,,
NY_GDP_MKTP_CD,GDP (current US$),ARM,Armenia,2018,2018,12457941907,,
NY_GDP_MKTP_CD,GDP (current US$),ARM,Armenia,2019,2019,13619291361,,
NY_GDP_MKTP_CD,GDP (current US$),ARM,Armenia,2020,2020,12641209802,,
NY_GDP_MKTP_CD,GDP (current US$),ARM,Armenia,2021,2021,13861183874,,
NY_GDP_MKTP_CD,GDP (current US$),ABW,Aruba,2016,2016,2983798883,,
NY_GDP_MKTP_CD,GDP (current US$),ABW,Aruba,2017,2017,3092178771,,
NY_GDP_MKTP_CD,GDP (current US$),ABW,Aruba,2018,2018,3202234637,,
NY_GDP_MKTP_CD,GDP (current US$),ABW,Aruba,2019,2019,3310055866,,
NY_GDP_MKTP_CD,GDP (current US$),ABW,Aruba,2020,2020,2496648045,,
NY_GDP_MKTP_CD,GDP (current US$),AZE,Azerbaijan,2016,2016,37867518957,,
NY_GDP_MKTP_CD,GDP (current US$),AZE,Azerbaijan,2017,2017,40865558912,,
NY_GDP_MKTP_CD,GDP (current US$),AZE,Azerbaijan,2018,2018,47112941176,,
NY_GDP_MKTP_CD,GDP (current US$),AZE,Azerbaijan,2019,2019,48174235294,,
NY_GDP_MKTP_CD,GDP (current US$),AZE,Azerbaijan,2020,2020,42693000000,,
NY_GDP_MKTP_CD,GDP (current US$),AZE,Azerbaijan,2021,2021,54622176471,,
NY_GDP_MKTP_CD,GDP (current US$),BHS,Bahamas,2016,2016,11834600000,,
NY_GDP_MKTP_CD,GDP (current US$),BHS,Bahamas,2017,2017,12357600000,,
NY_GDP_MKTP_CD,GDP (current US$),BHS,Bahamas,2018,2018,12755800000,,
NY_GDP_MKTP_CD,GDP (current US$),BHS,Bahamas,2019,2019,13192800000,,
NY_GDP_MKTP_CD,GDP (current US$),BHS,Bahamas,2020,2020,9699500000,,
NY_GDP_MKTP_CD,GDP (current US$),BHS,Bahamas,2021,2021,11208600000,,
NY_GDP_MKTP_CD,GDP (current US$),BHR,Bahrain,2016,2016,32234973404,,
NY_GDP_MKTP_CD,GDP (current US$),BHR,Bahrain,2017,2017,35473776596,,
NY_GDP_MKTP_CD,GDP (current US$),BHR,Bahrain,2018,2018,37802005319,,
NY_GDP_MKTP_CD,GDP (current US$),BHR,Bahrain,2019,2019,38653318085,,
NY_GDP_MKTP_CD,GDP (current US$),BHR,Bahrain,2020,2020,34723357447,,
NY_GDP_MKTP_CD,GDP (current US$),BHR,Bahrain,2021,2021,38868663032,,
NY_GDP_MKTP_CD,GDP (current US$),BGD,Bangladesh,2016,2016,2.65236E+11,,
NY_GDP_MKTP_CD,GDP (current US$),BGD,Bangladesh,2017,2017,2.93755E+11,,
NY_GDP_MKTP_CD,GDP (current US$),BGD,Bangladesh,2018,2018,3.21379E+11,,
NY_GDP_MKTP_CD,GDP (current US$),BGD,Bangladesh,2019,2019,3.51238E+11,,
NY_GDP_MKTP_CD,GDP (current US$),BGD,Bangladesh,2020,2020,3.73902E+11,,
NY_GDP_MKTP_CD,GDP (current US$),BGD,Bangladesh,2021,2021,4.16265E+11,,
NY_GDP_MKTP_CD,GDP (current US$),BRB,Barbados,2016,2016,4832811756,,
NY_GDP_MKTP_CD,GDP (current US$),BRB,Barbados,2017,2017,4981588900,,
NY_GDP_MKTP_CD,GDP (current US$),BRB,Barbados,2018,2018,5097283213,,
NY_GDP_MKTP_CD,GDP (current US$),BRB,Barbados,2019,2019,5304164323,,
NY_GDP_MKTP_CD,GDP (current US$),BRB,Barbados,2020,2020,4689534962,,
NY_GDP_MKTP_CD,GDP (current US$),BRB,Barbados,2021,2021,4900800000,,
NY_GDP_MKTP_CD,GDP (current US$),BLZ,Belize,2016,2016,1796928937,,
NY_GDP_MKTP_CD,GDP (current US$),BLZ,Belize,2017,2017,1844906693,,
NY_GDP_MKTP_CD,GDP (current US$),BLZ,Belize,2018,2018,1887465218,,
NY_GDP_MKTP_CD,GDP (current US$),BLZ,Belize,2019,2019,1945250236,,
NY_GDP_MKTP_CD,GDP (current US$),BLZ,Belize,2020,2020,1585631670,,
NY_GDP_MKTP_CD,GDP (current US$),BLZ,Belize,2021,2021,1789923264,,
NY_GDP_MKTP_CD,GDP (current US$),BEN,Benin,2016,2016,11821066153,,
NY_GDP_MKTP_CD,GDP (current US$),BEN,Benin,2017,2017,12701654743,,
NY_GDP_MKTP_CD,GDP (current US$),BEN,Benin,2018,2018,14262407011,,
NY_GDP_MKTP_CD,GDP (current US$),BEN,Benin,2019,2019,14391686633,,
NY_GDP_MKTP_CD,GDP (current US$),BEN,Benin,2020,2020,15651545332,,
NY_GDP_MKTP_CD,GDP (current US$),BEN,Benin,2021,2021,17785640079,,
NY_GDP_MKTP_CD,GDP (current US$),BMU,Bermuda,2016,2016,6899911000,,
NY_GDP_MKTP_CD,GDP (current US$),BMU,Bermuda,2017,2017,7142316000,,
NY_GDP_MKTP_CD,GDP (current US$),BMU,Bermuda,2018,2018,7225977000,,
NY_GDP_MKTP_CD,GDP (current US$),BMU,Bermuda,2019,2019,7423465000,,
NY_GDP_MKTP_CD,GDP (current US$),BMU,Bermuda,2020,2020,6881662000,,
NY_GDP_MKTP_CD,GDP (current US$),BMU,Bermuda,2021,2021,7080900000,,
NY_GDP_MKTP_CD,GDP (current US$),BTN,Bhutan,2016,2016,2158972129,,
NY_GDP_MKTP_CD,GDP (current US$),BTN,Bhutan,2017,2017,2450364928,,
NY_GDP_MKTP_CD,GDP (current US$),BTN,Bhutan,2018,2018,2446866405,,
NY_GDP_MKTP_CD,GDP (current US$),BTN,Bhutan,2019,2019,2535657069,,
NY_GDP_MKTP_CD,GDP (current US$),BTN,Bhutan,2020,2020,2315436303,,
NY_GDP_MKTP_CD,GDP (current US$),BOL,Bolivia (Plurinational State of),2016,2016,33941126194,,
NY_GDP_MKTP_CD,GDP (current US$),BOL,Bolivia (Plurinational State of),2017,2017,37508642171,,
NY_GDP_MKTP_CD,GDP (current US$),BOL,Bolivia (Plurinational State of),2018,2018,40287647931,,
NY_GDP_MKTP_CD,GDP (current US$),BOL,Bolivia (Plurinational State of),2019,2019,40895322851,,
NY_GDP_MKTP_CD,GDP (current US$),BOL,Bolivia (Plurinational State of),2020,2020,36629843806,,
NY_GDP_MKTP_CD,GDP (current US$),BOL,Bolivia (Plurinational State of),2021,2021,40408208524,,
NY_GDP_MKTP_CD,GDP (current US$),BIH,Bosnia and Herzegovina,2016,2016,16914287593,,
NY_GDP_MKTP_CD,GDP (current US$),BIH,Bosnia and Herzegovina,2017,2017,18079076427,,
NY_GDP_MKTP_CD,GDP (current US$),BIH,Bosnia and Herzegovina,2018,2018,20177422311,,
NY_GDP_MKTP_CD,GDP (current US$),BIH,Bosnia and Herzegovina,2019,2019,20201323283,,
NY_GDP_MKTP_CD,GDP (current US$),BIH,Bosnia and Herzegovina,2020,2020,19955120005,,
NY_GDP_MKTP_CD,GDP (current US$),BIH,Bosnia and Herzegovina,2021,2021,22571512867,,
NY_GDP_MKTP_CD,GDP (current US$),BWA,Botswana,2016,2016,15082578065,,
NY_GDP_MKTP_CD,GDP (current US$),BWA,Botswana,2017,2017,16088437675,,
NY_GDP_MKTP_CD,GDP (current US$),BWA,Botswana,2018,2018,16914245098,,
NY_GDP_MKTP_CD,GDP (current US$),BWA,Botswana,2019,2019,16695925027,,
NY_GDP_MKTP_CD,GDP (current US$),BWA,Botswana,2020,2020,14930072799,,
NY_GDP_MKTP_CD,GDP (current US$),BWA,Botswana,2021,2021,17613846473,,
NY_GDP_MKTP_CD,GDP (current US$),BRA,Brazil,2016,2016,1.79569E+12,,
NY_GDP_MKTP_CD,GDP (current US$),BRA,Brazil,2017,2017,2.06351E+12,,
NY_GDP_MKTP_CD,GDP (current US$),BRA,Brazil,2018,2018,1.91693E+12,,
NY_GDP_MKTP_CD,GDP (current US$),BRA,Brazil,2019,2019,1.87329E+12,,
NY_GDP_MKTP_CD,GDP (current US$),BRA,Brazil,2020,2020,1.44857E+12,,
NY_GDP_MKTP_CD,GDP (current US$),BRA,Brazil,2021,2021,1.60898E+12,,
NY_GDP_MKTP_CD,GDP (current US$),BRN,Brunei Darussalam,2016,2016,11400854268,,
NY_GDP_MKTP_CD,GDP (current US$),BRN,Brunei Darussalam,2017,2017,12128104859,,
NY_GDP_MKTP_CD,GDP (current US$),BRN,Brunei Darussalam,2018,2018,13567351175,,
NY_GDP_MKTP_CD,GDP (current US$),BRN,Brunei Darussalam,2019,2019,13469422959,,
NY_GDP_MKTP_CD,GDP (current US$),BRN,Brunei Darussalam,2020,2020,12005825770,,
NY_GDP_MKTP_CD,GDP (current US$),BRN,Brunei Darussalam,2021,2021,14006569576,,
NY_GDP_MKTP_CD,GDP (current US$),BGR,Bulgaria,2016,2016,53953897624,,
NY_GDP_MKTP_CD,GDP (current US$),BGR,Bulgaria,2017,2017,59199447421,,
NY_GDP_MKTP_CD,GDP (current US$),BGR,Bulgaria,2018,2018,66363422450,,
NY_GDP_MKTP_CD,GDP (current US$),BGR,Bulgaria,2019,2019,68915416142,,
NY_GDP_MKTP_CD,GDP (current US$),BGR,Bulgaria,2020,2020,69889347433,,
NY_GDP_MKTP_CD,GDP (current US$),BGR,Bulgaria,2021,2021,80271119426,,
NY_GDP_MKTP_CD,GDP (current US$),BFA,Burkina Faso,2016,2016,12833363370,,
NY_GDP_MKTP_CD,GDP (current US$),BFA,Burkina Faso,2017,2017,14106956830,,
NY_GDP_MKTP_CD,GDP (current US$),BFA,Burkina Faso,2018,2018,15890065020,,
NY_GDP_MKTP_CD,GDP (current US$),BFA,Burkina Faso,2019,2019,16178162030,,
NY_GDP_MKTP_CD,GDP (current US$),BFA,Burkina Faso,2020,2020,17933606353,,
NY_GDP_MKTP_CD,GDP (current US$),BFA,Burkina Faso,2021,2021,19737615114,,
NY_GDP_MKTP_CD,GDP (current US$),BDI,Burundi,2016,2016,2639321196,,
NY_GDP_MKTP_CD,GDP (current US$),BDI,Burundi,2017,2017,2712324087,,
NY_GDP_MKTP_CD,GDP (current US$),BDI,Burundi,2018,2018,2660123624,,
