NATMON_IND,Indicator,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",BLZ,Belize,2020,2020,18.9685,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",FRA,France,2017,2017,31085.88881,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",FRA,France,2018,2018,32901.39264,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",FRA,France,2019,2019,31864.16271,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",TTO,Trinidad and Tobago,2020,2020,279.92078,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),OMN,Oman,2016,2016,2.29217,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),OMN,Oman,2019,2019,1.27704,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),OMN,Oman,2020,2020,1.82909,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",ZMB,Zambia,2016,2016,92.96528,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",ZMB,Zambia,2017,2017,135.0796,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),JOR,Jordan,2016,2016,1.60597,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),JOR,Jordan,2017,2017,1.50613,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),JOR,Jordan,2018,2018,1.49102,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),JOR,Jordan,2019,2019,1.40512,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),JOR,Jordan,2021,2021,1.50762,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",SWE,Sweden,2016,2016,6271.13703,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",SWE,Sweden,2017,2017,6619.94659,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",SWE,Sweden,2018,2018,7107.10034,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",SWE,Sweden,2019,2019,6750.28592,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",BRA,Brazil,2016,2016,24994.41439,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",BRA,Brazil,2017,2017,27380.69475,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",BRA,Brazil,2018,2018,24840.56586,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",BRA,Brazil,2019,2019,23877.09077,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",JPN,Japan,2016,2016,49117.23777,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",JPN,Japan,2017,2017,54953.51146,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",JPN,Japan,2018,2018,53227.19322,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",JPN,Japan,2019,2019,56399.05793,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),SVN,Slovenia,2016,2016,0.73642,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),SVN,Slovenia,2017,2017,0.7297,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),SVN,Slovenia,2018,2018,0.76332,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),SVN,Slovenia,2019,2019,0.75769,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),IRL,Ireland,2016,2016,1.39644,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),IRL,Ireland,2017,2017,1.21438,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),IRL,Ireland,2018,2018,1.16083,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),IRL,Ireland,2019,2019,1.13578,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),CIV,Côte d'Ivoire,2016,2016,1.76574,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),CIV,Côte d'Ivoire,2017,2017,1.50333,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),CIV,Côte d'Ivoire,2018,2018,1.53229,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),LKA,Sri Lanka,2016,2016,0.7999,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),LKA,Sri Lanka,2017,2017,0.66319,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),LKA,Sri Lanka,2018,2018,0.45384,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),LKA,Sri Lanka,2019,2019,0.39431,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),LKA,Sri Lanka,2020,2020,0.36615,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),MDV,Maldives,2016,2016,0.70806,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),MDV,Maldives,2018,2018,0.66343,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),MDV,Maldives,2019,2019,0.70564,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",VAT,Holy See,2016,2016,,a,Category not applicable
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",VAT,Holy See,2017,2017,,a,Category not applicable
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",VAT,Holy See,2018,2018,,a,Category not applicable
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",VAT,Holy See,2019,2019,,a,Category not applicable
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",VAT,Holy See,2020,2020,,a,Category not applicable
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",VAT,Holy See,2021,2021,,a,Category not applicable
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),PRT,Portugal,2017,2017,1.13341,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),PRT,Portugal,2018,2018,1.06695,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),PRT,Portugal,2019,2019,1.04952,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",LBR,Liberia,2016,2016,67.47072,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",LBR,Liberia,2021,2021,22.14995,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),LUX,Luxembourg,2017,2017,0.72193,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),LUX,Luxembourg,2018,2018,0.79075,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),LUX,Luxembourg,2019,2019,0.76357,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),BRN,Brunei Darussalam,2016,2016,1.97033,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),CPV,Cabo Verde,2016,2016,0.81936,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),CPV,Cabo Verde,2017,2017,0.78473,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),CPV,Cabo Verde,2019,2019,0.37405,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",AUS,Australia,2016,2016,21044.40239,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",AUS,Australia,2017,2017,22664.92726,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",AUS,Australia,2018,2018,25126.88939,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",AUS,Australia,2019,2019,24916.71199,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",DOM,Dominican Republic,2016,2016,1416.01415,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",DOM,Dominican Republic,2017,2017,1324.13277,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",DOM,Dominican Republic,2018,2018,1518.62923,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",DOM,Dominican Republic,2019,2019,1790.48306,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",DOM,Dominican Republic,2020,2020,1954.75693,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",MLT,Malta,2016,2016,98.27748,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",MLT,Malta,2017,2017,101.08784,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",MLT,Malta,2019,2019,124.44174,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",BFA,Burkina Faso,2016,2016,49.75725,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",NLD,Netherlands,2016,2016,9132.28386,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",NLD,Netherlands,2017,2017,9285.10151,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",NLD,Netherlands,2018,2018,10003.05316,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",NLD,Netherlands,2019,2019,9626.28871,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),FIN,Finland,2016,2016,1.40533,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),FIN,Finland,2017,2017,1.33867,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),FIN,Finland,2018,2018,1.34931,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),FIN,Finland,2019,2019,1.40851,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",ALB,Albania,2017,2017,270.89171,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",ALB,Albania,2019,2019,343.20549,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",SSD,South Sudan,2016,2016,6.18539,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",SSD,South Sudan,2017,2017,3.56123,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",ARG,Argentina,2016,2016,7468.3229,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",ARG,Argentina,2017,2017,8178.54411,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",ARG,Argentina,2018,2018,5588.50285,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",ARG,Argentina,2019,2019,4514.40409,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",ARG,Argentina,2020,2020,3859.72242,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",MLI,Mali,2016,2016,171.80073,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",MLI,Mali,2017,2017,260.12661,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",MLI,Mali,2021,2021,487.2395,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",PRY,Paraguay,2016,2016,212.0332,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",PRY,Paraguay,2020,2020,213.70827,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",NOR,Norway,2016,2016,6764.4619,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",NOR,Norway,2017,2017,7408.72928,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",NOR,Norway,2018,2018,8117.25792,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",NOR,Norway,2019,2019,7754.92242,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),MYS,Malaysia,2016,2016,1.60553,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),MYS,Malaysia,2017,2017,1.57821,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),MYS,Malaysia,2018,2018,1.52433,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),MYS,Malaysia,2019,2019,1.51581,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),MYS,Malaysia,2020,2020,1.61874,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",MCO,Monaco,2016,2016,17.69232,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",MCO,Monaco,2019,2019,18.43542,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",MCO,Monaco,2021,2021,28.74605,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",DNK,Denmark,2016,2016,3681.5801,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",DNK,Denmark,2017,2017,3673.79545,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",DNK,Denmark,2018,2018,3860.84906,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",DNK,Denmark,2019,2019,3640.3545,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),USA,United States of America,2016,2016,0.87228,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),USA,United States of America,2017,2017,0.89275,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),USA,United States of America,2018,2018,0.88683,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),USA,United States of America,2019,2019,0.88098,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",BLZ,Belize,2016,2016,41.47925,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",BLZ,Belize,2017,2017,41.83299,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",BLZ,Belize,2018,2018,43.43995,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",BLZ,Belize,2019,2019,43.32755,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",BLZ,Belize,2020,2020,44.03592,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),HUN,Hungary,2016,2016,0.78125,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),HUN,Hungary,2017,2017,0.65133,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),HUN,Hungary,2018,2018,0.65206,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),HUN,Hungary,2019,2019,0.74307,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),UKR,Ukraine,2016,2016,0.35391,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),UKR,Ukraine,2017,2017,0.40678,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),UKR,Ukraine,2018,2018,0.33472,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),UKR,Ukraine,2019,2019,0.41927,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),UKR,Ukraine,2020,2020,0.42766,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),EST,Estonia,2016,2016,1.28773,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),EST,Estonia,2017,2017,1.377,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),EST,Estonia,2018,2018,1.47622,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),EST,Estonia,2019,2019,1.60714,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),CAN,Canada,2016,2016,1.31699,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),CAN,Canada,2017,2017,1.26161,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),CAN,Canada,2018,2018,1.24319,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),CAN,Canada,2019,2019,1.22483,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",SEN,Senegal,2016,2016,136.81668,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",SEN,Senegal,2018,2018,147.99273,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),TCD,Chad,2018,2018,1.03007,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),TCD,Chad,2020,2020,1.60799,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),TCD,Chad,2021,2021,1.15048,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),NLD,Netherlands,2016,2016,1.16281,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),NLD,Netherlands,2017,2017,1.14918,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),NLD,Netherlands,2018,2018,1.15646,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),NLD,Netherlands,2019,2019,1.15116,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",CHL,Chile,2016,2016,3757.09677,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",CHL,Chile,2017,2017,4184.99957,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",CHL,Chile,2018,2018,4521.70398,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",CHL,Chile,2019,2019,4366.40677,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),BFA,Burkina Faso,2016,2016,0.57233,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",DZA,Algeria,2021,2021,52437.0144,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),CHE,Switzerland,2016,2016,1.42612,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),CHE,Switzerland,2017,2017,1.4432,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),CHE,Switzerland,2018,2018,1.42598,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",URY,Uruguay,2016,2016,397.83675,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",URY,Uruguay,2017,2017,473.15971,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",URY,Uruguay,2018,2018,473.70493,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",URY,Uruguay,2019,2019,496.58862,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",URY,Uruguay,2020,2020,254.67133,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),IRN,Iran (Islamic Republic of),2016,2016,0.46518,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),IRN,Iran (Islamic Republic of),2017,2017,0.45706,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),IRN,Iran (Islamic Republic of),2018,2018,0.6679,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),IRN,Iran (Islamic Republic of),2019,2019,0.62354,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),IRN,Iran (Islamic Republic of),2020,2020,0.61481,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),AFG,Afghanistan,2016,2016,0.66205,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),AFG,Afghanistan,2017,2017,0.64508,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",VAT,Holy See,2016,2016,,a,Category not applicable
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",VAT,Holy See,2017,2017,,a,Category not applicable
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",VAT,Holy See,2018,2018,,a,Category not applicable
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",VAT,Holy See,2019,2019,,a,Category not applicable
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",VAT,Holy See,2020,2020,,a,Category not applicable
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",VAT,Holy See,2021,2021,,a,Category not applicable
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),GRC,Greece,2016,2016,0.72207,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),GRC,Greece,2017,2017,0.69305,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),GRC,Greece,2018,2018,0.66932,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),GRC,Greece,2019,2019,0.62314,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",DMA,Dominica,2019,2019,4.93176,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",DMA,Dominica,2020,2020,4.00095,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",GRD,Grenada,2017,2017,11.18963,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),BGR,Bulgaria,2017,2017,0.80544,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),BGR,Bulgaria,2018,2018,0.81375,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),BGR,Bulgaria,2019,2019,0.83385,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),KAZ,Kazakhstan,2016,2016,1.78174,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),KAZ,Kazakhstan,2017,2017,1.64371,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),KAZ,Kazakhstan,2018,2018,1.59549,,
