T26,Population employed in research and development (R&D),,,,,
24,Angola,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),38,Break in the time series.;Partial data.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2005,R & D personnel: Total (number in full-time equivalent),"45,361",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2005,R & D personnel: Researchers - total (number in full-time equivalent),"31,868",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2005,R & D personnel: Researchers - women (number in full-time equivalent),"15,416",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2005,R & D personnel: Technicians - total (number in full-time equivalent),"7,788",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,705",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2010,R & D personnel: Total (number in full-time equivalent),"64,954",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2010,R & D personnel: Researchers - total (number in full-time equivalent),"45,960",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2010,R & D personnel: Researchers - women (number in full-time equivalent),"22,901",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2010,R & D personnel: Technicians - total (number in full-time equivalent),"10,120",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"8,874",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2015,R & D personnel: Total (number in full-time equivalent),"78,725",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2015,R & D personnel: Researchers - total (number in full-time equivalent),"53,006",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2015,R & D personnel: Researchers - women (number in full-time equivalent),"27,498",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2015,R & D personnel: Technicians - total (number in full-time equivalent),"14,046",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2015,R & D personnel: Technicians - women (number in full-time equivalent),"3,608",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"11,673",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),"4,223",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2018,R & D personnel: Total (number in full-time equivalent),"82,764",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2018,R & D personnel: Researchers - total (number in full-time equivalent),"53,740",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2018,R & D personnel: Researchers - women (number in full-time equivalent),"28,295",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2018,R & D personnel: Technicians - total (number in full-time equivalent),"17,658",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2018,R & D personnel: Technicians - women (number in full-time equivalent),"7,893",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2018,R & D personnel: Other supporting staff - total (number in full-time equivalent),"11,366",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2018,R & D personnel: Other supporting staff - women (number in full-time equivalent),"5,483",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2005,R & D personnel: Total (number in full-time equivalent),"6,892",Head count instead of Full-time equivalent.;Partial data.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2005,R & D personnel: Researchers - total (number in full-time equivalent),"5,056",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2005,R & D personnel: Researchers - women (number in full-time equivalent),"2,329",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2005,R & D personnel: Technicians - total (number in full-time equivalent),345,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,491",Head count instead of Full-time equivalent.;Partial data.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2010,R & D personnel: Total (number in full-time equivalent),"6,558",Head count instead of Full-time equivalent.;Partial data.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"4,981",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2010,R & D personnel: Researchers - women (number in full-time equivalent),"2,261",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2010,R & D personnel: Technicians - total (number in full-time equivalent),479,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),672,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2015,R & D personnel: Total (number in full-time equivalent),"5,044",Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2015,R & D personnel: Researchers - total (number in full-time equivalent),"3,856",Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2015,R & D personnel: Researchers - women (number in full-time equivalent),"2,023",Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2015,R & D personnel: Technicians - total (number in full-time equivalent),308,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2015,R & D personnel: Technicians - women (number in full-time equivalent),186,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),503,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),270,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2018,R & D personnel: Total (number in full-time equivalent),"4,452",Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2018,R & D personnel: Researchers - total (number in full-time equivalent),"3,384",Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2018,R & D personnel: Researchers - women (number in full-time equivalent),"1,705",Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2018,R & D personnel: Technicians - total (number in full-time equivalent),168,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2018,R & D personnel: Technicians - women (number in full-time equivalent),87,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2018,R & D personnel: Other supporting staff - total (number in full-time equivalent),453,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2018,R & D personnel: Other supporting staff - women (number in full-time equivalent),247,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2004,R & D personnel: Total (number in full-time equivalent),"116,194",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2004,R & D personnel: Technicians - total (number in full-time equivalent),"17,600",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2004,R & D personnel: Other supporting staff - total (number in full-time equivalent),"17,402",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2008,R & D personnel: Total (number in full-time equivalent),"137,489",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2008,R & D personnel: Researchers - total (number in full-time equivalent),"92,649",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2008,R & D personnel: Technicians - total (number in full-time equivalent),"24,243",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2008,R & D personnel: Other supporting staff - total (number in full-time equivalent),"20,597",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2010,R & D personnel: Total (number in full-time equivalent),"147,809",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"100,414",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2004,R & D personnel: Technicians - total (number in full-time equivalent),"12,067",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2004,R & D personnel: Technicians - women (number in full-time equivalent),"2,901",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2004,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,471",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2005,R & D personnel: Total (number in full-time equivalent),"47,625",Estimate.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2005,R & D personnel: Researchers - total (number in full-time equivalent),"28,470",Estimate.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,R & D personnel: Total (number in full-time equivalent),"56,438",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,R & D personnel: Researchers - total (number in full-time equivalent),"34,664",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,R & D personnel: Researchers - women (number in full-time equivalent),"7,765",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,R & D personnel: Technicians - total (number in full-time equivalent),"16,709",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,R & D personnel: Technicians - women (number in full-time equivalent),"3,903",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,065",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,398",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2010,R & D personnel: Total (number in full-time equivalent),"59,923",Estimate.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2010,R & D personnel: Researchers - total (number in full-time equivalent),"36,581",Estimate.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,R & D personnel: Total (number in full-time equivalent),"71,396",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,R & D personnel: Researchers - total (number in full-time equivalent),"43,562",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,R & D personnel: Researchers - women (number in full-time equivalent),"10,114",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,R & D personnel: Technicians - total (number in full-time equivalent),"22,387",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,R & D personnel: Technicians - women (number in full-time equivalent),"4,651",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,447",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,326",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2017,R & D personnel: Total (number in full-time equivalent),"76,010",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2017,R & D personnel: Researchers - total (number in full-time equivalent),"47,521",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2017,R & D personnel: Researchers - women (number in full-time equivalent),"11,243",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2017,R & D personnel: Technicians - total (number in full-time equivalent),"23,356",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
